time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:43:58:876,1,2,331,2829,2688,2743,9707,2829
18:43:59:001,1,2,332,2834,2687,2748,9718,2834
18:43:59:157,1,2,332,2834,2689,2747,9732,2834
18:43:59:282,1,2,333,2837,2687,2748,9752,2837
18:43:59:471,1,2,334,2837,2688,2746,9763,2837
18:43:59:594,1,2,334,2837,2691,2745,9775,2837
18:43:59:753,1,2,335,2837,2690,2752,9792,2837
18:43:59:876,1,2,336,2837,2688,2746,9810,2837
18:44:00:064,1,2,336,2835,2686,2747,9819,2835
18:44:00:189,1,2,337,2829,2689,2748,9832,2829
18:44:00:375,1,2,338,2837,2686,2747,9845,2837
18:44:00:503,1,2,338,2838,2689,2744,9860,2838
18:44:00:658,1,2,339,2843,2685,2746,9876,2843
18:44:00:783,1,2,340,2837,2686,2745,9889,2837
18:44:00:972,1,2,340,2839,2685,2739,9902,2839
18:44:01:097,1,2,341,2833,2689,2746,9918,2833
18:44:01:255,1,2,342,2834,2683,2735,9933,2834
18:44:01:380,1,2,342,2831,2687,2748,9940,2831
18:44:01:568,1,2,342,2829,2692,2750,9945,2829
18:44:01:691,1,2,343,2833,2686,2749,9964,2833
18:44:01:847,1,2,343,2840,2687,2743,9971,2840
18:44:01:971,1,2,344,2836,2683,2753,9982,2836
18:44:02:159,1,2,345,2838,2681,2746,9995,2838
18:44:02:282,1,2,345,2832,2684,2747,10007,2832
18:44:02:467,1,2,346,2833,2690,2747,10019,2833
18:44:02:592,1,2,346,2835,2687,2739,10028,2835
18:44:02:780,1,2,347,2830,2684,2750,10037,2830
18:44:02:904,1,2,347,2844,2684,2744,10041,2844
18:44:03:059,1,2,348,2836,2690,2743,10057,2836
18:44:03:184,1,2,348,2831,2687,2748,10069,2831
18:44:03:373,1,2,348,2837,2687,2748,10074,2837
18:44:03:497,1,2,349,2831,2683,2749,10084,2831
18:44:03:654,1,2,349,2835,2689,2747,10093,2835
18:44:03:778,1,2,350,2837,2683,2744,10111,2837
18:44:03:965,1,2,350,2839,2684,2746,10114,2839
18:44:04:090,1,2,351,2831,2680,2751,10123,2831
18:44:04:276,1,2,351,2840,2690,2739,10128,2840
18:44:04:402,1,2,351,2838,2691,2748,10136,2838
18:44:04:559,1,2,352,2837,2686,2741,10150,2837
18:44:04:686,1,2,352,2835,2687,2748,10162,2835
18:44:04:873,1,2,353,2837,2682,2750,10173,2837
18:44:04:996,1,2,354,2836,2684,2740,10187,2836
18:44:05:153,1,2,354,2836,2684,2743,10189,2836
18:44:05:275,1,2,354,2844,2682,2748,10202,2844
18:44:05:462,1,2,355,2836,2689,2749,10212,2836
18:44:05:588,1,2,355,2839,2684,2745,10218,2839
18:44:05:775,1,2,355,2837,2689,2749,10225,2837
18:44:05:903,1,2,356,2835,2687,2750,10233,2835
18:44:06:057,1,3,356,2838,2689,2757,10241,2838
18:44:06:182,1,2,357,2831,2687,2744,10252,2831
18:44:06:370,1,2,357,2838,2686,2749,10257,2838
18:44:06:492,1,2,357,2839,2684,2739,10268,2839
18:44:06:682,1,2,358,2838,2691,2741,10278,2838
18:44:06:806,1,2,358,2838,2683,2747,10290,2838
18:44:06:963,1,2,359,2837,2684,2742,10298,2837
18:44:07:089,1,2,359,2833,2687,2745,10300,2833
18:44:07:274,1,2,359,2839,2687,2737,10306,2839
18:44:07:399,1,2,360,2837,2690,2748,10317,2837
18:44:07:556,1,2,360,2836,2682,2748,10330,2836
18:44:07:681,1,2,361,2839,2689,2748,10339,2839
18:44:07:868,1,2,361,2838,2689,2739,10346,2838
18:44:07:991,1,2,361,2837,2683,2746,10350,2837
18:44:08:179,1,2,362,2839,2693,2748,10360,2839
18:44:08:304,1,2,362,2839,2684,2750,10374,2839
18:44:08:460,1,2,363,2843,2685,2748,10384,2843
18:44:08:586,1,2,363,2839,2683,2751,10395,2839
18:44:08:769,1,2,364,2839,2684,2740,10398,2839
18:44:08:892,1,2,364,2843,2687,2747,10409,2843
18:44:09:078,1,2,365,2833,2684,2745,10419,2833
18:44:09:203,1,2,365,2838,2682,2748,10427,2838
18:44:09:358,1,2,365,2837,2685,2741,10432,2837
18:44:09:486,1,2,366,2835,2685,2748,10441,2835
18:44:09:670,1,2,366,2830,2684,2748,10452,2830
18:44:09:794,1,2,366,2838,2684,2746,10455,2838
18:44:09:980,1,2,367,2837,2686,2741,10472,2837
18:44:10:103,1,2,367,2840,2688,2745,10475,2840
18:44:10:260,1,2,368,2829,2689,2749,10487,2829
18:44:10:384,1,2,368,2842,2682,2748,10494,2842
18:44:10:571,1,2,369,2840,2688,2743,10504,2840
