time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:55:16:521,598,8,4,2849,15222,2870,2754,2849
18:55:16:645,596,8,4,2854,15188,2870,2753,2854
18:55:16:831,594,8,4,2855,15148,2872,2758,2855
18:55:16:956,592,8,4,2857,15112,2872,2757,2857
18:55:17:086,591,8,5,2852,15079,2871,2762,2852
18:55:17:222,589,8,4,2860,15037,2868,2755,2860
18:55:17:424,587,8,5,2856,14996,2871,2759,2856
18:55:17:551,585,8,4,2855,14961,2871,2755,2855
18:55:17:740,583,8,4,2858,14925,2871,2749,2858
18:55:17:864,582,8,4,2855,14886,2871,2755,2855
18:55:18:021,580,8,4,2863,14852,2868,2758,2863
18:55:18:146,578,8,4,2857,14814,2871,2755,2857
18:55:18:334,576,8,4,2862,14778,2866,2757,2862
18:55:18:457,575,8,5,2859,14744,2865,2759,2859
18:55:18:585,573,8,4,2857,14708,2866,2755,2857
18:55:18:724,571,8,4,2858,14670,2863,2756,2858
18:55:18:925,570,8,4,2857,14635,2863,2756,2857
18:55:19:051,568,7,4,2860,14597,2861,2758,2860
18:55:19:235,566,8,4,2862,14562,2866,2754,2862
18:55:19:358,564,8,4,2863,14525,2863,2757,2863
18:55:19:517,563,8,5,2860,14494,2867,2759,2860
18:55:19:639,561,8,4,2861,14460,2865,2755,2861
18:55:19:826,560,8,4,2860,14422,2863,2758,2860
18:55:19:950,558,8,4,2861,14383,2866,2757,2861
18:55:20:137,556,8,5,2860,14352,2865,2761,2860
18:55:20:262,555,7,4,2863,14319,2861,2755,2863
18:55:20:418,553,8,4,2859,14283,2864,2753,2859
18:55:20:543,551,7,4,2860,14244,2862,2753,2860
18:55:20:731,550,7,4,2866,14214,2858,2754,2866
18:55:20:855,548,7,4,2860,14181,2859,2755,2860
18:55:20:985,546,7,4,2865,14148,2855,2758,2865
18:55:21:135,545,7,4,2864,14112,2860,2756,2864
18:55:21:321,543,7,4,2868,14076,2859,2756,2868
18:55:21:448,542,7,4,2861,14046,2855,2754,2861
18:55:21:635,540,7,4,2868,14012,2852,2754,2868
18:55:21:759,538,7,4,2863,13974,2860,2749,2863
18:55:21:916,537,7,4,2866,13940,2854,2755,2866
18:55:22:039,535,7,4,2866,13907,2857,2747,2866
18:55:22:225,533,7,4,2869,13875,2853,2756,2869
18:55:22:350,532,7,4,2867,13845,2855,2756,2867
18:55:22:536,531,7,4,2862,13813,2856,2753,2862
18:55:22:662,529,7,4,2866,13777,2856,2753,2866
18:55:22:818,527,7,4,2868,13744,2857,2752,2868
18:55:22:943,526,7,4,2867,13715,2856,2751,2867
18:55:23:131,524,7,4,2869,13680,2853,2757,2869
18:55:23:257,523,7,4,2865,13649,2850,2751,2865
18:55:23:385,521,7,4,2866,13616,2854,2753,2866
18:55:23:523,520,7,4,2866,13583,2853,2755,2866
18:55:23:727,518,7,4,2868,13547,2847,2752,2868
18:55:23:851,516,7,4,2867,13518,2855,2749,2867
18:55:24:038,515,7,4,2869,13488,2851,2751,2869
18:55:24:165,513,7,4,2868,13454,2846,2753,2868
18:55:24:321,512,7,4,2870,13423,2846,2755,2870
18:55:24:450,511,7,4,2869,13393,2849,2749,2869
18:55:24:636,509,7,4,2868,13357,2852,2745,2868
18:55:24:760,508,7,4,2868,13330,2848,2751,2868
18:55:24:886,506,7,4,2867,13299,2845,2752,2867
